"k","c","a","n","e_Kre","e_Kex","e_C","e_Af","e_Ar","e_N","r","z","k_Kre","k_Kex","k_C","k_Ef","k_Er","k_N","k_R","k_sat","c_sat","a_sat","n_sat","Δ_CN","f_Kre","f_Kex","f_C","f_Ef","f_Er","f_N","f_R","f_Z","γ_K","α_Cr","α_Cf","mu","C_per_N","experiment"
0.0,0.08527381664062007,0.09007156303092305,0.10764663434779241,0.0,0.0,0.15334278890552563,0.1443341445999802,0.0,0.020425973676685225,0.2555034816023407,0.14340159719613285,0.5,20.0,10.0,15.0,7.5,20.0,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0.0,0.0,0.2138648270364744,0.20130060950795658,0.0,0.02848779103728985,0.3563467724182793,0.2,0.0,24//31,48//55,1.941947362588961,0.0,"k_Kex=20.0_k_N=20.0"
0.07812399978921279,0.08331803883307196,0.08509772738550157,0.08658358700864004,0.0,0.0,0.13979125016846736,0.13568685797680416,0.0,0.02461072647232416,0.2334124829692634,0.13337532939671484,0.5,20.0,10.0,15.0,7.5,20.0,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0.0,0.0,0.2096208508736558,0.20346620111911995,0.0,0.036904465891321514,0.3500084821159028,0.2,0.3,24//31,48//55,1.8901270311311569,0.5000000000000001,"k_Kex=20.0_k_N=20.0"
0.13979954403161743,0.08162466107514106,0.08080276686174302,0.07334255722849202,0.0,0.0,0.12848783730941302,0.12815651922476876,0.0,0.02791478961226468,0.21498523049595875,0.12488609416060124,0.5,20.0,10.0,15.0,7.5,20.0,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0.0,0.0,0.20576804515029506,0.20523745271424976,0.0,0.04470440011738498,0.34429010201807025,0.2,0.46153846153846156,24//31,48//55,1.8431741653394238,1.0,"k_Kex=20.0_k_N=20.0"
0.19113571461188558,0.0801189369073396,0.07701136581200053,0.0640655771815501,0.0,0.0,0.11882362964155607,0.12149912314993945,0.0,0.03057840446018546,0.1992335671380985,0.11753368109744487,0.5,20.0,10.0,15.0,7.5,20.0,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0.0,0.0,0.20219502789679794,0.20674775437213938,0.0,0.05203343275674911,0.3390237849743136,0.2,0.5624999999999999,24//31,48//55,1.79980438561927,1.4999999999999991,"k_Kex=20.0_k_N=20.0"
0.23514492946572874,0.07877549385501331,0.0736271294862081,0.05711832479858375,0.0,0.0,0.11042849138754808,0.11554736379188342,0.0,0.032750362636768976,0.18554108009937262,0.11106682447889324,0.5,20.0,10.0,15.0,7.5,20.0,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0.0,0.0,0.19885054228507903,0.20806818657868736,0.0,0.05897415864805381,0.3341071124881798,0.2,0.631578947368421,24//31,48//55,1.7592921666108605,1.9999999999999996,"k_Kex=20.0_k_N=20.0"
0.27360571843997333,0.07755261801264947,0.0705749910966304,0.051680395078027894,0.0,0.0,0.10304845173794334,0.11018613254536183,0.0,0.0345343027938153,0.1735001348210547,0.1053172554745438,0.5,20.0,10.0,15.0,7.5,20.0,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0.0,0.0,0.19569148716157192,0.20924611460653744,0.0,0.0655814712189544,0.3294809270129363,0.2,0.6818181818181818,24//31,48//55,1.7211705732557396,2.4999999999999996,"k_Kex=20.0_k_N=20.0"
0.3076663627407651,0.07644360321986066,0.06778305186028052,0.047279485136189604,0.0,0.0,0.09650387939260811,0.10532514847161935,0.0,0.0360036352752662,0.16282933449482967,0.10016549940858081,0.5,20.0,10.0,15.0,7.5,20.0,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0.0,0.0,0.19268885986174394,0.21030224796662172,0.0,0.07188829584606833,0.32512059632556606,0.2,0.72,24//31,48//55,1.6851114994314051,2.9999999999999996,"k_Kex=20.0_k_N=20.0"
0.33814942195365655,0.07541931631686676,0.06522795216722158,0.04363317715649456,0.0,0.0,0.09065487746472954,0.10089446090279483,0.0,0.037216078514602347,0.15329068904248178,0.09551402648115213,0.5,20.0,10.0,15.0,7.5,20.0,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0.0,0.0,0.18982526609873066,0.21126627076642912,0.0,0.07792798583765334,0.32098047729718693,0.2,0.75,24//31,48//55,1.6508703449393423,3.5,"k_Kex=20.0_k_N=20.0"
0.36565441588325476,0.07447641467772978,0.06287774690946824,0.040554686606784615,0.0,0.0,0.08539472427291277,0.09683221462462684,0.0,0.038215405116285996,0.1447070447243846,0.09128734718455253,0.5,20.0,10.0,15.0,7.5,20.0,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0.0,0.0,0.18708994599278508,0.212148162064266,0.0,0.08372552450018558,0.3170363674427634,0.2,0.7741935483870968,24//31,48//55,1.6182553450548476,3.9999999999999996,"k_Kex=20.0_k_N=20.0"
0.39063652754170025,0.07360129623363339,0.06070381797578345,0.037913667874912446,0.0,0.0,0.08063918034910558,0.09309530425062487,0.0,0.03903607095009461,0.13694519674935157,0.08742893807479415,0.5,20.0,10.0,15.0,7.5,20.0,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0.0,0.0,0.18446793961999164,0.2129622212064001,0.0,0.08929782703456798,0.3132720121390403,0.2,0.7941176470588236,24//31,48//55,1.587113222492948,4.500000000000002,"k_Kex=20.0_k_N=20.0"
