"k","c","a","n","e_Kre","e_Kex","e_C","e_Af","e_Ar","e_N","r","z","k_Kre","k_Kex","k_C","k_Ef","k_Er","k_N","k_R","k_sat","c_sat","a_sat","n_sat","Δ_CN","f_Kre","f_Kex","f_C","f_Ef","f_Er","f_N","f_R","f_Z","γ_K","α_Cr","α_Cf","mu","C_per_N","experiment"
0.0,0.09740832810729655,0.09539854376599152,0.05058271648539326,0.0,0.0,0.0950750878025679,0.13935704174452254,0.0,0.09341199293625424,0.27744420682971044,0.15132208232826377,5.0,20.0,17.83185317179163,19.205052741284252,9.602526370642126,3.4318423482119798,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0,0,0.12565923801698825,0.18418599532910812,0.0,0.1234611518675974,0.36669361478630624,0.2,0,24//31,48//55,2.015940239180104,0.0,"random_kCkEfkN_k_Kre=5.0_γ_K=0"
0.0,0.15935727049256354,0.01843154547602531,0.1867363116719672,0.0,0.0,0.09924282501630495,0.3582395508573146,0.0,0.021653695067249838,0.029243826946685744,0.1270949744718888,5.0,20.0,1.1473067079067478,0.3426546979068412,0.1713273489534206,1.9444790294639391,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0,0,0.15617112388382554,0.5637351946383231,0.0,0.03407482499953492,0.046018856478316494,0.2,0,24//31,48//55,0.15596711482149633,0.0,"random_kCkEfkN_k_Kre=5.0_γ_K=0"
0.0,0.13734234698816725,0.06722232247495556,0.06357229918611788,0.0,0.0,0.06097008005194421,0.2322389831617114,0.0,0.1073720815142344,0.18490928035271761,0.14637260627015186,5.0,20.0,17.89882576809171,6.370726026363678,3.185363013181839,2.0123837991370674,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0,0,0.0833080473260346,0.3173257470500739,0.0,0.14671062331986306,0.2526555823040285,0.2,0,24//31,48//55,1.3073666772352235,0.0,"random_kCkEfkN_k_Kre=5.0_γ_K=0"
0.0,0.07430139266468734,0.08423767707955597,0.052702572964363724,0.0,0.0,0.1799797333561202,0.12524683233722828,0.0,0.07825907397969756,0.24752104616006854,0.15775167145827865,5.0,20.0,7.860216908439295,19.019281708999422,9.509640854499711,3.541298176590164,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0,0,0.22818107940456317,0.15878986406854384,0.0,0.0992180599498689,0.31381099657702416,0.2,0,24//31,48//55,1.6918184592881094,0.0,"random_kCkEfkN_k_Kre=5.0_γ_K=0"
0.0,0.15075135216469115,0.050987433453293055,0.1771753865216691,0.0,0.0,0.0764024794941914,0.2821870834830829,0.0,0.014224682600547569,0.12405441671045556,0.12421716557206934,5.0,20.0,9.379461725116851,2.8136783718164526,1.4068391859082263,17.950879217619473,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0,0,0.12301436623888118,0.45434474725534013,0.0,0.022902925751102532,0.1997379607546762,0.2,0,24//31,48//55,0.9719596913911961,0.0,"random_kCkEfkN_k_Kre=5.0_γ_K=0"
0.0,0.1382920765726491,0.05265920049528556,0.1368211559126487,0.0,0.0,0.09666280611195949,0.27936306959005075,0.0,0.029742706946998612,0.13201347096652447,0.13444551340388336,5.0,20.0,7.68165460335231,3.1429175332301496,1.5714587666150748,7.418404963592735,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0,0,0.14379476661534682,0.4155781216005705,0.0,0.04424499738812335,0.19638211439595932,0.2,0,24//31,48//55,0.9631737343891841,0.0,"random_kCkEfkN_k_Kre=5.0_γ_K=0"
0.0,0.05308286908041505,0.051155287846928015,0.09538471524947008,0.0,0.0,0.3666407276162798,0.11965164384987903,0.0,0.02200035494689732,0.1320089758454935,0.1600754255646374,5.0,20.0,1.74441800790345,8.830650609390599,4.415325304695299,7.4394522079707315,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0,0,0.45808496378881425,0.1494940818402691,0.0,0.027487485814009248,0.16493346855690738,0.2,0,24//31,48//55,0.8032452768704973,0.0,"random_kCkEfkN_k_Kre=5.0_γ_K=0"
0.0,0.10426079682209993,0.06690779342629187,0.12703723393496738,0.0,0.0,0.1464586722172494,0.21047278144110051,0.0,0.023107260474138955,0.18139662652082375,0.14035883516332814,5.0,20.0,7.0719665706311785,6.406278547443498,3.203139273721749,13.003763107065804,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0,0,0.20869177497351443,0.29990670868162234,0.0,0.03292597925488659,0.2584755370899767,0.2,0,24//31,48//55,1.336232175158385,0.0,"random_kCkEfkN_k_Kre=5.0_γ_K=0"
0.0,0.09018984180832954,0.08391907363614667,0.05398502926646,0.0,0.0,0.1334974582549531,0.1493209146612766,0.0,0.0903005900699244,0.244405881245097,0.15438121105781272,5.0,20.0,10.69695541401166,15.172508623114913,7.5862543115574566,3.0776022266326475,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0,0,0.17294521443410737,0.1934444141720832,0.0,0.116983912033322,0.3166264593604875,0.2,0,24//31,48//55,1.7059256559025573,0.0,"random_kCkEfkN_k_Kre=5.0_γ_K=0"
0.0,0.07933208962115149,0.09023816709438193,0.1039547999222429,0.0,0.0,0.16877673742802177,0.13473298679703405,0.0,0.020187771548016223,0.2574824589167068,0.1452949886724447,5.0,20.0,9.067434281660383,16.45432943211569,8.227164716057844,19.89680934277903,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0,0,0.23232286119449688,0.18546129915158752,0.0,0.02778866873864157,0.3544271709152741,0.2,0,24//31,48//55,1.9320442164480953,0.0,"random_kCkEfkN_k_Kre=5.0_γ_K=0"
0.0,0.0550572083323339,0.07616537323242663,0.08520412443654239,0.0,0.0,0.2824469050752884,0.10188089145346435,0.0,0.022578725653651422,0.21995211301655357,0.1567146587997394,5.0,20.0,4.240781436324932,19.563250369458007,9.781625184729004,12.819911497646522,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0,0,0.3604600963796477,0.13002088283732877,0.0,0.02881507808724396,0.2807039426957796,0.2,0,24//31,48//55,1.4872528564001657,0.0,"random_kCkEfkN_k_Kre=5.0_γ_K=0"
0.0,0.13819008042782865,0.06713940181131073,0.08066368513470609,0.0,0.0,0.0700843148422402,0.24351534185891785,0.0,0.07443283930181817,0.18317297009794747,0.14280136652523095,5.0,20.0,15.526380163822097,5.759602710477516,2.879801355238758,3.2109040318726167,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0,0,0.09815636439285383,0.34105463803932473,0.0,0.10424667650315092,0.25654232106467056,0.2,0,24//31,48//55,1.3271524195795554,0.0,"random_kCkEfkN_k_Kre=5.0_γ_K=0"
0.0,0.07706384677384044,0.07892606545543063,0.0479398898960572,0.0,0.0,0.17525897031690343,0.1326964935906105,0.0,0.09828487728361447,0.23061581710860915,0.15921403957493438,5.0,20.0,7.409239578256073,16.708961933528975,8.354480966764488,2.5035241088253057,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0,0,0.220155170718368,0.16668943762105437,0.0,0.12346257597133138,0.2896928156892463,0.2,0,24//31,48//55,1.5445942591288726,0.0,"random_kCkEfkN_k_Kre=5.0_γ_K=0"
0.0,0.06257673928145108,0.058188860815112396,0.08982694509395764,0.0,0.0,0.30527629089886593,0.13853851857194854,0.0,0.030820534500486,0.15689061987628264,0.1578814909618958,5.0,20.0,2.6217608220567623,9.169699810940312,4.584849905470156,6.399171861106709,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0,0,0.38671574361119176,0.17549684605573482,0.0,0.03904261900836044,0.198744791324713,0.2,0,24//31,48//55,0.9975873165012286,0.0,"random_kCkEfkN_k_Kre=5.0_γ_K=0"
0.0,0.13149886268560337,0.07162424086153585,0.061781151807888575,0.0,0.0,0.06508762137121565,0.21763443798384038,0.0,0.10535484866897717,0.19999968769194468,0.14701914892899445,5.0,20.0,18.296573396454946,7.563546801411958,3.781773400705979,2.224792644376854,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0,0,0.08854305285449704,0.29606270961199865,0.0,0.14332126044323684,0.27207297709026745,0.2,0,24//31,48//55,1.4252731339872937,0.0,"random_kCkEfkN_k_Kre=5.0_γ_K=0"
0.0,0.10016618489531555,0.02572995052239615,0.008887382898397871,0.0,0.0,0.01829465274060878,0.06350739875314136,0.0,0.5617307275389212,0.048640406314441116,0.17304329633677817,5.0,20.0,10.565816603861835,10.378111622033618,5.189055811016809,0.04794028419911278,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0,0,0.021144595749035655,0.07340058828923696,0.0,0.649237201822227,0.05621761413950044,0.2,0,24//31,48//55,0.22022747641020093,0.0,"random_kCkEfkN_k_Kre=5.0_γ_K=0"
0.0,0.1394931872884395,0.034553003413350464,0.2041023444166519,0.0,0.0,0.11011739714520516,0.3051634284870572,0.0,0.00971217174962343,0.07248817452336072,0.12437029297631168,5.0,20.0,3.284128487716047,1.322766928703274,0.661383464351637,15.035578242022867,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0,0,0.17707990310222854,0.49073363290248195,0.0,0.015618153687992478,0.11656831030729708,0.2,0,24//31,48//55,0.5076677991991372,0.0,"random_kCkEfkN_k_Kre=5.0_γ_K=0"
0.0,0.10166060629721867,0.09716874838886128,0.059792141799200865,0.0,0.0,0.09203011399089049,0.1472736883808649,0.0,0.07389270716824904,0.27990629327177097,0.14827570070294385,5.0,20.0,18.849262464332014,17.650492370347916,8.825246185173958,4.690104911609696,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0,0,0.12413377721986159,0.19864844702492906,0.0,0.09966934139301223,0.3775484343621972,0.2,0,24//31,48//55,2.0812643220586304,0.0,"random_kCkEfkN_k_Kre=5.0_γ_K=0"
0.0,0.12929630606240713,0.07374867703869849,0.13584591887063932,0.0,0.0,0.08526040545576065,0.22308525474335503,0.0,0.021344282874727213,0.19919733534876133,0.13222181960565094,5.0,20.0,14.344703385162859,6.628833329500257,3.3144166647501283,17.055178307492568,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0,0,0.12896571187728037,0.33744090863172566,0.0,0.03228556820407723,0.30130781128691675,0.2,0,24//31,48//55,1.5870657770356402,0.0,"random_kCkEfkN_k_Kre=5.0_γ_K=0"
0.0,0.07475552032969703,0.09138633717053209,0.0803172876340715,0.0,0.0,0.17853751189890987,0.12492231671424535,0.0,0.03427369494962122,0.26509916032978337,0.1507081709731399,5.0,20.0,8.740764926318194,19.205717946340478,9.602858973170239,10.531807019345027,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0,0,0.23693142945876483,0.1657804164268037,0.0,0.04548352584775204,0.35180462826667946,0.2,0,24//31,48//55,1.9215183630874197,0.0,"random_kCkEfkN_k_Kre=5.0_γ_K=0"
0.0,0.09456231458670485,0.08277002821453647,0.1045208121735045,0.0,0.0,0.14344669774077584,0.16931126274975314,0.0,0.027906843680929605,0.23385267184874492,0.14362936900505083,5.0,20.0,9.683292879285027,11.299220000911486,5.649610000455743,12.949669741946593,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0,0,0.19974563521995475,0.23576134034787702,0.0,0.03885952277622029,0.32563350165594795,0.2,0,24//31,48//55,1.750420795998374,0.0,"random_kCkEfkN_k_Kre=5.0_γ_K=0"
0.0,0.11471579073279266,0.0950783604158389,0.11134807871929277,0.0,0.0,0.08418596910236964,0.1714698875580329,0.0,0.024644219962407593,0.2627861394828502,0.13577155402641508,5.0,20.0,19.96413367571327,12.647715133583034,6.323857566791517,18.11223706057143,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0,0,0.12401120353382836,0.25258588043364727,0.0,0.03630247902681136,0.38710043700571306,0.2,0,24//31,48//55,2.1270618949111677,0.0,"random_kCkEfkN_k_Kre=5.0_γ_K=0"
0.0,0.03210187201808874,0.04337303103050114,0.09062487151398341,0.0,0.0,0.48907232486827734,0.06321207806393137,0.0,0.009681371075197622,0.10515440634253494,0.16678004508748528,5.0,20.0,0.9593226455762904,14.695353986201841,7.3476769931009205,12.288472142148091,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0,0,0.5864878194651308,0.07580292717965528,0.0,0.011609747521196806,0.12609950583401708,0.2,0,24//31,48//55,0.5881474153261471,0.0,"random_kCkEfkN_k_Kre=5.0_γ_K=0"
0.0,0.08705500278611546,0.07821049948815116,0.11054026443420127,0.0,0.0,0.171278677109224,0.16463528106154457,0.0,0.02309779832275333,0.22034363013970387,0.14483884665830643,5.0,20.0,7.445352698044032,10.82975684869301,5.414878424346505,14.912596413303657,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0,0,0.23650930818759222,0.22733580784434226,0.0,0.03189447976929009,0.3042604041987755,0.2,0,24//31,48//55,1.619678305155676,0.0,"random_kCkEfkN_k_Kre=5.0_γ_K=0"
0.0,0.14645955876070357,0.0681821797614208,0.13370634552400357,0.0,0.0,0.06572837848218836,0.24812595381717414,0.0,0.026472511187290704,0.1809946892764445,0.13033038319077445,5.0,20.0,16.986562985685826,5.239697220398347,2.6198486101991736,12.26718279285592,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0,0,0.10086424496424107,0.380764558106107,0.0,0.0406236988477827,0.27774749808186927,0.2,0,24//31,48//55,1.4412423747551077,0.0,"random_kCkEfkN_k_Kre=5.0_γ_K=0"
0.0,0.0751503554401782,0.08709881005649078,0.10306291827280065,0.0,0.0,0.18696620162592598,0.1315783368104627,0.0,0.019858543306880447,0.24934725124115523,0.14693758324610612,5.0,20.0,7.796610446578747,16.31918703983453,8.159593519917266,19.23742455043609,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0,0,0.25448383932213703,0.17909418938799584,0.0,0.027029903266639874,0.3393920680232273,0.2,0,24//31,48//55,1.839729869301523,0.0,"random_kCkEfkN_k_Kre=5.0_γ_K=0"
0.0,0.11626156886578635,0.06341921892439263,0.1505814894694204,0.0,0.0,0.12232704132101688,0.2300475935864337,0.0,0.01604082077436123,0.16737472251050886,0.13394754454808014,5.0,20.0,7.898832993699734,5.174248911554371,2.5871244557771855,19.43003595042532,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0,0,0.18264917320243657,0.3434890790459524,0.0,0.023950899329257078,0.249910848422354,0.2,0,24//31,48//55,1.2779145943282868,0.0,"random_kCkEfkN_k_Kre=5.0_γ_K=0"
0.0,0.09506675378997306,0.09592205269806459,0.07565323197764535,0.0,0.0,0.11654660108284193,0.14750103121654007,0.0,0.04768114238699501,0.27495759454107677,0.1466715923068635,5.0,20.0,14.492941217211314,16.645313466577463,8.322656733288731,7.839420639796368,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0,0,0.15892184607774004,0.20113101507474096,0.0,0.06501755607484982,0.3749295827726692,0.2,0,24//31,48//55,2.0628955703170826,0.0,"random_kCkEfkN_k_Kre=5.0_γ_K=0"
