"k","c","a","n","e_Kre","e_Kex","e_C","e_Af","e_Ar","e_N","r","z","k_Kre","k_Kex","k_C","k_Ef","k_Er","k_N","k_R","k_sat","c_sat","a_sat","n_sat","Δ_CN","f_Kre","f_Kex","f_C","f_Ef","f_Er","f_N","f_R","f_Z","γ_K","α_Cr","α_Cf","mu","C_per_N","experiment"
0.0,0.003485077312154028,0.005143008102804817,0.08158880220191399,0.0,0.0,0.7185651721544317,0.0038132603276464414,0.0,8.872409518400498e-5,0.0053593333292397995,0.18195662247662545,10.0,20.0,0.010000000000000004,15.0,7.5,20.0,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0.0,0.0,0.7898203015355927,0.004191394933302086,0.0,9.752224895843257e-5,0.0058907812821468175,0.2,0.0,24//31,48//55,0.00896013362522442,0.0,"sweep_kC_nores"
0.0,0.0037008515490992845,0.005456274815288119,0.08033340466015881,0.0,0.0,0.718482120351313,0.004081426108478194,0.0,9.883507613360409e-5,0.005745193644438196,0.18210189379509076,10.0,20.0,0.011220184543019644,15.0,7.5,20.0,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0.0,0.0,0.7890990097662371,0.00448257403964266,0.0,0.00010854920184939727,0.006309866992270763,0.2,0.0,24//31,48//55,0.010038203503873864,0.0,"sweep_kC_nores"
0.0,0.003931048928775301,0.005765373386840276,0.07940672733117504,0.0,0.0,0.718064035956029,0.004364896184227177,0.0,0.00011024296693434652,0.006178305175376992,0.18217937007064197,10.0,20.0,0.012589254117941677,15.0,7.5,20.0,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0.0,0.0,0.7883044448749521,0.004791866590091563,0.0,0.00012102683952809661,0.006782661695428294,0.2,0.0,24//31,48//55,0.01124474996029219,0.0,"sweep_kC_nores"
0.0,0.004151329818045062,0.006105744475410625,0.08048276679162708,0.0,0.0,0.716001159103228,0.004661501604628949,0.0,0.00012405249247504798,0.00662141393160191,0.1818520317829835,10.0,20.0,0.014125375446227554,15.0,7.5,20.0,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0.0,0.0,0.7874546707926601,0.0051266973032139,0.0,0.0001364323414577939,0.00728219956266829,0.2,0.0,24//31,48//55,0.012594835041768166,0.0,"sweep_kC_nores"
0.0,0.004392558323031132,0.0064771185177943886,0.08049970464346869,0.0,0.0,0.7146770689498398,0.004989308356946088,0.0,0.00013891727970607602,0.007099200226072693,0.18172612370314117,10.0,20.0,0.01584893192461114,15.0,7.5,20.0,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0.0,0.0,0.7865430180168274,0.00549101940356839,0.0,0.0001528864170712236,0.007813076162533017,0.2,0.0,24//31,48//55,0.014105213807988156,0.0,"sweep_kC_nores"
0.0,0.0046321335076194665,0.006843461537235105,0.08195784518240473,0.0,0.0,0.7121394585708412,0.00533179303624683,0.0,0.00015653536097760476,0.007625460850126882,0.18131331195454814,10.0,20.0,0.01778279410038924,15.0,7.5,20.0,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0.0,0.0,0.785534664712717,0.0058813034506626964,0.0,0.00017266835985748827,0.008411363476762745,0.2,0.0,24//31,48//55,0.015794536582080035,0.0,"sweep_kC_nores"
0.0,0.004916174526364792,0.007238451583667412,0.08135902152961624,0.0,0.0,0.7110995030846289,0.005708536274161198,0.0,0.00017476233335770813,0.008206280196132952,0.18129727047207028,10.0,20.0,0.019952623149688802,15.0,7.5,20.0,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0.0,0.0,0.7844569322340433,0.006297432122719826,0.0,0.0001927909150564196,0.009052844728180465,0.2,0.0,24//31,48//55,0.017683547074132732,0.0,"sweep_kC_nores"
0.0,0.005195859122287088,0.007656676438705717,0.08206845952012713,0.0,0.0,0.7089356435799092,0.0061088580035059984,0.0,0.00019620924654419758,0.0088224931051446,0.18101580098377604,10.0,20.0,0.022387211385683402,15.0,7.5,20.0,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0.0,0.0,0.7832859228056555,0.006749530118703303,0.0,0.00021678687217121265,0.009747760203470124,0.2,0.0,24//31,48//55,0.019795277042552885,0.0,"sweep_kC_nores"
0.0,0.00549452933722129,0.008104944936833511,0.08229777451371072,0.0,0.0,0.7070259531746212,0.0065468329876916835,0.0,0.00021978083754681553,0.009489633969927963,0.1808205502424469,10.0,20.0,0.025118864315095805,15.0,7.5,20.0,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0.0,0.0,0.7820194687236933,0.007241248828093482,0.0,0.0002430927649010359,0.010496189683312118,0.2,0.0,24//31,48//55,0.0221553057359809,0.0,"sweep_kC_nores"
0.0,0.00582478587484321,0.008566523683222688,0.08225289344748267,0.0,0.0,0.7052015956308288,0.00701188121955077,0.0,0.00024583574522052973,0.010225324999961179,0.18067115939889034,10.0,20.0,0.028183829312644557,15.0,7.5,20.0,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0.0,0.0,0.7806465602779104,0.00776203710971906,0.0,0.00027213612403711584,0.01131926648833359,0.2,0.0,24//31,48//55,0.02479199630667446,0.0,"sweep_kC_nores"
0.0,0.006147032278177308,0.009059029681569287,0.0836496774369623,0.0,0.0,0.7021325071214043,0.007504426601410849,0.0,0.00027666917781516873,0.011001805582002623,0.18022885212065823,10.0,20.0,0.03162277660168381,15.0,7.5,20.0,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0.0,0.0,0.7791566098987813,0.00832766398177673,0.0,0.0003070198523263593,0.012208706267115566,0.2,0.0,24//31,48//55,0.02773676297378371,0.0,"sweep_kC_nores"
0.0,0.006511321332588215,0.009581488695397863,0.0834692017102355,0.0,0.0,0.700127794568749,0.008051932493311527,0.0,0.00030914598532724903,0.011861517562034915,0.1800875976523557,10.0,20.0,0.035481338923357565,15.0,7.5,20.0,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0.0,0.0,0.7775413784132856,0.008942239885786164,0.0,0.00034332845721450503,0.013173053243713762,0.2,0.0,24//31,48//55,0.031024391275301624,0.0,"sweep_kC_nores"
0.0,0.006887492245092546,0.01013216879743141,0.08379764659502721,0.0,0.0,0.6975737484831112,0.008637977877455688,0.0,0.00034611888439799063,0.012788308644994568,0.17983653847248982,10.0,20.0,0.03981071705534975,15.0,7.5,20.0,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0.0,0.0,0.7757864496372312,0.009606477027222218,0.0,0.00038492609715231767,0.014222147238394323,0.2,0.0,24//31,48//55,0.03469328881406066,0.0,"sweep_kC_nores"
0.0,0.007278931974515318,0.010712025291217366,0.08447276948042895,0.0,0.0,0.6945850619441587,0.009266053466214789,0.0,0.0003879941674907117,0.013789909025206656,0.17950725465076767,10.0,20.0,0.044668359215096334,15.0,7.5,20.0,6.46,0.0167,0.0167,0.0167,0.0167,0.0,0.0,0.0,0.7738796554996928,0.010323876307107419,0.0,0.0004322880077972965,0.015364180185402532,0.2,0.0,24//31,48//55,0.038785858402175855,0.0,"sweep_kC_nores"
