PomBaseIDs,medium,replicate,proteome_fraction
SPCC1827.06c,Glu,1,0.0019514202212445823
SPAC20G4.06c,Glu,1,0.0011214056396793072
SPAPJ698.02c,Glu,1,0.002988137283386853
SPAC26F1.07,Glu,1,0.001248477228916163
SPAC1834.02,Glu,1,0.00135573144465737
SPAC10F6.06,Glu,1,9.836100736443662e-4
SPCC622.18,Glu,1,0.002893576908561167
SPAC1002.09c,Glu,1,9.734417193232083e-4
SPAC19A8.15,Glu,1,0.0016799611653035152
SPAPB1E7.07,Glu,1,0.0015853434053004752
SPCC576.09,Glu,1,0.0011555599751403409
SPAC10F6.01c,Glu,1,0.001926085003385029
SPBC25H2.05,Glu,1,0.0015540284931152746
SPAC3C7.11c,Glu,1,0.001285051977600907
SPAC6F12.13c,Glu,1,9.853401896130225e-4
SPBC25H2.02,Glu,1,0.0011753982531351132
SPBC1685.10,Glu,1,0.0015143023800409576
SPAC3A12.18,Glu,1,6.994671892123788e-4
SPAC26A3.05,Glu,1,0.001443548700700006
SPAC57A7.04c,Glu,1,0.0027881361767661847
SPAC23H4.10c,Glu,1,0.001661542429767186
SPAPB1E7.12,Glu,1,0.0022054936211027645
SPCC965.07c;SPCC191.09c,Glu,1,1.0307485657476328e-4
SPAC22A12.11,Glu,1,4.1905489218343735e-4
SPAC664.05,Glu,1,0.0014799880966386353
SPAC4G9.16c,Glu,1,8.277036216271073e-4
SPAC18G6.14c,Glu,1,0.0024173707058939417
SPBC1A4.02c,Glu,1,0.001475278062592114
SPAC22G7.06c,Glu,1,0.0016180690617781034
SPBC1703.13c,Glu,1,8.354777001198052e-4
SPAC4G9.03,Glu,1,8.445561198502881e-4
SPCC31H12.04c;SPCC16C4.13c,Glu,1,0.0012426027308871405
SPBC12C2.07c,Glu,1,7.941582243456321e-4
SPCC18.14c,Glu,1,0.0037611031088983105
SPAC977.14c;SPAC750.01,Glu,1,1.3161972619453902e-4
SPAP8A3.07c,Glu,1,0.0019631333329195363
SPAC9E9.03,Glu,1,0.002339492940597639
SPCC1223.07c,Glu,1,7.231742313200842e-4
SPAC6C3.04,Glu,1,7.907732943586283e-4
SPAC3G9.11c,Glu,1,2.0263973919677577e-6
SPCC1795.11,Glu,1,0.0010972601385472048
SPAC1805.13,Glu,1,0.0016265791309848206
SPAC1071.08,Glu,1,0.0010625325246893685
SPCC645.14c,Glu,1,0.0015738852020885934
SPBC3E7.16c,Glu,1,0.001084242838979407
SPAC1F12.02c,Glu,1,0.0011162179303064069
SPCC1183.08c,Glu,1,0.0012834435141746028
SPAP7G5.02c,Glu,1,9.91376468222063e-4
SPAC521.03,Glu,1,5.466168968777582e-4
SPBC11C11.07,Glu,1,0.0010607280880946892
SPAC1F5.02,Glu,1,8.473198748980853e-4
SPCC16A11.10c,Glu,1,5.3473988946267e-4
SPAC1556.07,Glu,1,9.609128042257981e-4
SPBC336.10c,Glu,1,4.7835831391398375e-4
SPAC222.12c,Glu,1,0.0024204514557713747
SPBC1778.06c,Glu,1,6.115381247059146e-4
SPBC18E5.06,Glu,1,9.334819014742582e-4
