PomBaseIDs,annotations,class,subclass
SPAC4H3.10c,carbohydrate metabolic process;generation of precursor metabolites and energy;nucleobase-containing small molecule metabolic process;canonical glycolysis,1: Glycolysis,NA
SPAC513.05,carbohydrate metabolic process,6: Other metabolism,NA
SPAC513.06c,carbohydrate metabolic process,6: Other metabolism,NA
SPAC521.04c,transmembrane transport,6: Other metabolism,NA
SPAC521.05;SPAC2C4.16c,translation,0: Translation/RiBi,NA
SPAC56E4.02c,lipid metabolic process,4: Lipids,NA
SPAC56E4.03,cellular amino acid metabolic process,3: Amino acids,NA
SPAC56E4.04c,lipid metabolic process;nucleobase-containing small molecule metabolic process;sulfur compound metabolic process,4: Lipids,NA
SPAC56E4.06c,sulfur compound metabolic process,6: Other metabolism,NA
SPAC56F8.02,nucleobase-containing small molecule metabolic process;sulfur compound metabolic process,6: Other metabolism,NA
SPAC56F8.03,translation,0: Translation/RiBi,NA
SPAC56F8.04c,lipid metabolic process,4: Lipids,NA
SPAC56F8.05c,vesicle-mediated transport,6: Other metabolism,NA
SPAC56F8.09,translation,0: Translation/RiBi,NA
SPAC56F8.10,cellular amino acid metabolic process;sulfur compound metabolic process,3: Amino acids,NA
SPAC57A10.05c,vesicle-mediated transport,6: Other metabolism,NA
SPAC57A10.11c,transmembrane transport,6: Other metabolism,NA
SPAC57A10.12c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPAC57A7.05,transmembrane transport,6: Other metabolism,NA
SPAC57A7.06,translation,0: Translation/RiBi,NA
SPAC57A7.07c,cellular amino acid metabolic process;sulfur compound metabolic process,3: Amino acids,NA
SPAC57A7.10c,vesicle-mediated transport,6: Other metabolism,NA
SPAC589.03c,translation,0: Translation/RiBi,NA
SPAC589.12,lipid metabolic process,4: Lipids,NA
SPAC5D6.01;SPAC22A12.04c,translation,0: Translation/RiBi,NA
SPAC5D6.04,transmembrane transport,6: Other metabolism,NA
SPAC5D6.06c,lipid metabolic process,4: Lipids,NA
SPAC5D6.07c,vesicle-mediated transport,6: Other metabolism,NA
SPAC5D6.13,vesicle-mediated transport,6: Other metabolism,NA
SPAC5H10.01,cellular amino acid metabolic process,3: Amino acids,NA
SPAC5H10.06c,generation of precursor metabolites and energy,2: Precursors/Energy,Other
SPAC5H10.08c,vitamin metabolic process,5: Vitamins,NA
SPAC5H10.09c,vitamin metabolic process,5: Vitamins,NA
SPAC607.03c,translation,0: Translation/RiBi,NA
SPAC607.08c,vesicle-mediated transport,6: Other metabolism,NA
SPAC607.09c,transmembrane transport,6: Other metabolism,NA
SPAC630.03,vesicle-mediated transport,6: Other metabolism,NA
SPAC630.05,vesicle-mediated transport,6: Other metabolism,NA
SPAC630.08c,lipid metabolic process,4: Lipids,NA
SPAC630.11,vesicle-mediated transport,6: Other metabolism,NA
SPAC630.12,lipid metabolic process,4: Lipids,NA
SPAC637.04,vesicle-mediated transport,6: Other metabolism,NA
SPAC637.05c,transmembrane transport,6: Other metabolism,NA
SPAC637.07,translation,0: Translation/RiBi,NA
SPAC637.08,sulfur compound metabolic process,6: Other metabolism,NA
SPAC637.09,translation,0: Translation/RiBi,NA
SPAC644.05c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPAC644.08,cellular amino acid metabolic process;sulfur compound metabolic process,3: Amino acids,NA
SPAC644.09,vitamin metabolic process,5: Vitamins,NA
SPAC644.11c,nucleobase-containing small molecule metabolic process;sulfur compound metabolic process,6: Other metabolism,NA
SPAC644.13c,vesicle-mediated transport,6: Other metabolism,NA
SPAC644.15,translation,0: Translation/RiBi,NA
SPAC644.18c,vesicle-mediated transport,6: Other metabolism,NA
SPAC664.05,translation,0: Translation/RiBi,NA
SPAC664.06,translation,0: Translation/RiBi,NA
SPAC664.08c,translation,0: Translation/RiBi,NA
SPAC664.09,sulfur compound metabolic process,6: Other metabolism,NA
SPAC664.11,sulfur compound metabolic process;transmembrane transport,6: Other metabolism,NA
SPAC664.14,transmembrane transport,6: Other metabolism,NA
SPAC688.11,vesicle-mediated transport,6: Other metabolism,NA
SPAC694.03,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPAC6B12.04c,cellular amino acid metabolic process,3: Amino acids,NA
SPAC6B12.12,transmembrane transport,6: Other metabolism,NA
SPAC6B12.19,translation,0: Translation/RiBi,NA
SPAC6C3.04,generation of precursor metabolites and energy;tricarboxylic acid cycle,2: Precursors/Energy,TCA cycle
SPAC6C3.06c,vesicle-mediated transport,6: Other metabolism,NA
SPAC6C3.09,translation,0: Translation/RiBi,NA
SPAC6F12.03c,vesicle-mediated transport,6: Other metabolism,NA
SPAC6F12.04,vesicle-mediated transport,6: Other metabolism,NA
SPAC6F12.05c,sulfur compound metabolic process;vitamin metabolic process,5: Vitamins,NA
SPAC6F12.07,transmembrane transport,6: Other metabolism,NA
SPAC6F12.08c,vesicle-mediated transport,6: Other metabolism,NA
SPAC6F12.10c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPAC6F12.13c,lipid metabolic process,4: Lipids,NA
SPAC6F12.16c,translation,0: Translation/RiBi,NA
SPAC6F6.03c,translation,0: Translation/RiBi,NA
SPAC6F6.07c,translation,0: Translation/RiBi,NA
SPAC6F6.10c,vesicle-mediated transport,6: Other metabolism,NA
SPAC6F6.11c,vitamin metabolic process,5: Vitamins,NA
SPAC6F6.12,vesicle-mediated transport,6: Other metabolism,NA
SPAC6F6.15,vesicle-mediated transport,6: Other metabolism,NA
SPAC6G10.03c,lipid metabolic process,4: Lipids,NA
SPAC6G10.05c,vesicle-mediated transport,6: Other metabolism,NA
SPAC6G10.08,generation of precursor metabolites and energy;tricarboxylic acid cycle,2: Precursors/Energy,TCA cycle
SPAC6G10.09,carbohydrate metabolic process,6: Other metabolism,NA
SPAC6G10.11c;SPAC589.10c;SPBC337.08c,translation,0: Translation/RiBi,NA
SPAC6G9.02c,translation,0: Translation/RiBi,NA
SPAC6G9.07c,vesicle-mediated transport,6: Other metabolism,NA
SPAC6G9.11,vesicle-mediated transport,6: Other metabolism,NA
SPAC6G9.12,carbohydrate metabolic process;vesicle-mediated transport,6: Other metabolism,NA
SPAC732.01,transmembrane transport,6: Other metabolism,NA
SPAC732.02c,carbohydrate metabolic process,6: Other metabolism,NA
SPAC767.01c,vesicle-mediated transport,6: Other metabolism,NA
SPAC7D4.06c,lipid metabolic process,4: Lipids,NA
SPAC7D4.07c,cellular amino acid metabolic process;sulfur compound metabolic process,3: Amino acids,NA
SPAC7D4.10,transmembrane transport,6: Other metabolism,NA
SPAC7D4.11c,vesicle-mediated transport,6: Other metabolism,NA
SPAC806.02c,sulfur compound metabolic process,6: Other metabolism,NA
SPAC806.03c,translation,0: Translation/RiBi,NA
SPAC806.06c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPAC806.07,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPAC821.05,translation,0: Translation/RiBi,NA
SPAC821.09,carbohydrate metabolic process,6: Other metabolism,NA
SPAC821.11,cellular amino acid metabolic process,3: Amino acids,NA
SPAC823.05c,vesicle-mediated transport,6: Other metabolism,NA
SPAC823.08c,translation,0: Translation/RiBi,NA
SPAC823.10c,transmembrane transport,6: Other metabolism,NA
SPAC823.11,lipid metabolic process,4: Lipids,NA
SPAC823.12,vesicle-mediated transport,6: Other metabolism,NA
SPAC823.17,transmembrane transport,6: Other metabolism,NA
SPAC824.05,vesicle-mediated transport,6: Other metabolism,NA
SPAC824.06,transmembrane transport,6: Other metabolism,NA
SPAC824.08,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPAC824.09c,vesicle-mediated transport,6: Other metabolism,NA
SPAC869.03c,transmembrane transport,6: Other metabolism,NA
SPAC869.05c,transmembrane transport,6: Other metabolism,NA
SPAC869.10c,transmembrane transport,6: Other metabolism,NA
SPAC869.11;SPBC359.01,transmembrane transport,6: Other metabolism,NA
SPAC890.04c,translation,0: Translation/RiBi,NA
SPAC890.06,translation,0: Translation/RiBi,NA
SPAC890.08,translation,0: Translation/RiBi,NA
SPAC8C9.08,translation,0: Translation/RiBi,NA
SPAC8C9.10c,translation,0: Translation/RiBi,NA
SPAC8C9.12c,transmembrane transport,6: Other metabolism,NA
SPAC8C9.15c,translation,0: Translation/RiBi,NA
SPAC8E11.01c,carbohydrate metabolic process,6: Other metabolism,NA
SPAC8E11.10,carbohydrate metabolic process,6: Other metabolism,NA
SPAC8F11.04,translation,0: Translation/RiBi,NA
SPAC8F11.09c,vitamin metabolic process,5: Vitamins,NA
SPAC8F11.10c,carbohydrate metabolic process,6: Other metabolism,NA
SPAC9.06c,cellular amino acid metabolic process;sulfur compound metabolic process,3: Amino acids,NA
SPAC9.08c,lipid metabolic process,4: Lipids,NA
SPAC9.09,cellular amino acid metabolic process;nucleobase-containing small molecule metabolic process;sulfur compound metabolic process,3: Amino acids,NA
SPAC9.10,transmembrane transport,6: Other metabolism,NA
SPAC922.03,nitrogen cycle metabolic process,6: Other metabolism,NA
SPAC922.07c,cellular amino acid metabolic process,3: Amino acids,NA
SPAC926.08c,translation,0: Translation/RiBi,NA
SPAC926.09c,lipid metabolic process,4: Lipids,NA
SPAC959.02,vesicle-mediated transport,6: Other metabolism,NA
SPAC959.03c,translation,0: Translation/RiBi,NA
SPAC959.07,translation,0: Translation/RiBi,NA
SPAC959.08,translation,0: Translation/RiBi,NA
SPAC977.12,cellular amino acid metabolic process,3: Amino acids,NA
SPAC977.14c;SPAC750.01,transmembrane transport,6: Other metabolism,NA
SPAC977.16c,carbohydrate metabolic process,6: Other metabolism,NA
SPAC9E9.03,cellular amino acid metabolic process,3: Amino acids,NA
SPAC9E9.04,vesicle-mediated transport,6: Other metabolism,NA
SPAC9E9.06c,cellular amino acid metabolic process,3: Amino acids,NA
SPAC9E9.07c,vesicle-mediated transport,6: Other metabolism,NA
SPAC9E9.09c,generation of precursor metabolites and energy,2: Precursors/Energy,Other
SPAC9E9.11,vitamin metabolic process,5: Vitamins,NA
SPAC9E9.14,vesicle-mediated transport,6: Other metabolism,NA
SPAC9G1.03c,translation,0: Translation/RiBi,NA
SPAC9G1.10c,carbohydrate metabolic process;lipid metabolic process,4: Lipids,NA
SPACUNK4.07c,transmembrane transport,6: Other metabolism,NA
SPACUNK4.10,generation of precursor metabolites and energy,2: Precursors/Energy,Other
SPACUNK4.11c,translation,0: Translation/RiBi,NA
SPACUNK4.15,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPACUNK4.16c,carbohydrate metabolic process,6: Other metabolism,NA
SPAP14E8.03,vesicle-mediated transport,6: Other metabolism,NA
SPAP27G11.03,translation,0: Translation/RiBi,NA
SPAP27G11.06c,vesicle-mediated transport,6: Other metabolism,NA
SPAP27G11.09c,generation of precursor metabolites and energy;vitamin metabolic process,2: Precursors/Energy,Other
SPAP27G11.13c,translation,0: Translation/RiBi,NA
SPAP32A8.02,carbohydrate metabolic process,6: Other metabolism,NA
SPAP7G5.02c,cellular amino acid metabolic process;nucleobase-containing small molecule metabolic process,3: Amino acids,NA
SPAP7G5.04c,cellular amino acid metabolic process,3: Amino acids,NA
SPAP7G5.05,translation,0: Translation/RiBi,NA
SPAP7G5.06,transmembrane transport,6: Other metabolism,NA
SPAP8A3.03,transmembrane transport,6: Other metabolism,NA
SPAPB17E12.03,transmembrane transport,6: Other metabolism,NA
SPAPB17E12.13,translation,0: Translation/RiBi,NA
SPAPB1A10.03,translation,0: Translation/RiBi,NA
SPAPB1A10.06c,translation,0: Translation/RiBi,NA
SPAPB1A10.07c,lipid metabolic process,4: Lipids,NA
SPAPB1A10.10c,vesicle-mediated transport,6: Other metabolism,NA
SPAPB1A10.11c,cellular amino acid metabolic process,3: Amino acids,NA
SPAPB1E7.05,lipid metabolic process,4: Lipids,NA
SPAPB1E7.07,cellular amino acid metabolic process,3: Amino acids,NA
SPAPB1E7.12,translation,0: Translation/RiBi,NA
SPAPB21F2.02,vesicle-mediated transport,6: Other metabolism,NA
SPAPB21F2.03,translation,0: Translation/RiBi,NA
SPAPB2B4.01c,lipid metabolic process,4: Lipids,NA
SPAPB2B4.02,sulfur compound metabolic process,6: Other metabolism,NA
SPAPB2B4.04c,transmembrane transport,6: Other metabolism,NA
SPAPB2B4.05,transmembrane transport,6: Other metabolism,NA
SPAPB2B4.06,lipid metabolic process,4: Lipids,NA
SPAPB8E5.03,transmembrane transport,6: Other metabolism,NA
SPAPB8E5.07c,translation,0: Translation/RiBi,NA
SPAPJ696.01c,vesicle-mediated transport,6: Other metabolism,NA
SPAPJ696.02,vesicle-mediated transport,6: Other metabolism,NA
SPAPJ698.02c,translation,0: Translation/RiBi,NA
SPAPYUG7.05,cellular amino acid metabolic process,3: Amino acids,NA
SPBC106.04,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBC106.05c,generation of precursor metabolites and energy;nucleobase-containing small molecule metabolic process;transmembrane transport;oxidative phosphorylation,2: Precursors/Energy,OXPHOS
SPBC106.11c,lipid metabolic process,4: Lipids,NA
SPBC106.14c,translation,0: Translation/RiBi,NA
SPBC106.15,lipid metabolic process,4: Lipids,NA
SPBC106.17c,cellular amino acid metabolic process;lipid metabolic process;sulfur compound metabolic process,3: Amino acids,NA
SPBC106.18,translation,0: Translation/RiBi,NA
SPBC106.20,vesicle-mediated transport,6: Other metabolism,NA
SPBC1105.01,translation,0: Translation/RiBi,NA
SPBC1105.02c,cellular amino acid metabolic process,3: Amino acids,NA
SPBC1105.05,carbohydrate metabolic process,6: Other metabolism,NA
SPBC1105.08,vesicle-mediated transport,6: Other metabolism,NA
SPBC115.01c,translation,0: Translation/RiBi,NA
SPBC115.03,generation of precursor metabolites and energy,2: Precursors/Energy,Other
SPBC119.07,vesicle-mediated transport,6: Other metabolism,NA
SPBC119.10,cellular amino acid metabolic process,3: Amino acids,NA
SPBC119.11c,translation,0: Translation/RiBi,NA
SPBC119.12,vesicle-mediated transport,6: Other metabolism,NA
SPBC1198.02,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBC1198.05,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBC1198.06c,carbohydrate metabolic process,6: Other metabolism,NA
SPBC1198.07c,carbohydrate metabolic process,6: Other metabolism,NA
SPBC1198.08,sulfur compound metabolic process,6: Other metabolism,NA
SPBC1198.14c,carbohydrate metabolic process,6: Other metabolism,NA
SPBC11B10.01,lipid metabolic process,4: Lipids,NA
SPBC11B10.02c,cellular amino acid metabolic process,3: Amino acids,NA
SPBC11B10.03,vesicle-mediated transport,6: Other metabolism,NA
SPBC11C11.07,translation,0: Translation/RiBi,NA
SPBC11C11.09c;SPAC3H5.12c,translation,0: Translation/RiBi,NA
SPBC11G11.02c,vesicle-mediated transport,6: Other metabolism,NA
SPBC11G11.03,translation,0: Translation/RiBi,NA
SPBC11G11.04,vesicle-mediated transport,6: Other metabolism,NA
SPBC1271.09,transmembrane transport,6: Other metabolism,NA
SPBC1271.12,lipid metabolic process,4: Lipids,NA
SPBC1271.14,cellular amino acid metabolic process,3: Amino acids,NA
SPBC1289.01c,carbohydrate metabolic process,6: Other metabolism,NA
SPBC1289.03c,translation,0: Translation/RiBi,NA
SPBC1289.04c,vesicle-mediated transport,6: Other metabolism,NA
SPBC1289.05c,transmembrane transport,6: Other metabolism,NA
SPBC1289.08,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBC1289.09,transmembrane transport,6: Other metabolism,NA
SPBC1289.16c,nitrogen cycle metabolic process,6: Other metabolism,NA
SPBC12C2.03c,cellular amino acid metabolic process;sulfur compound metabolic process,3: Amino acids,NA
SPBC12C2.05c,vesicle-mediated transport,6: Other metabolism,NA
SPBC12C2.06,translation,0: Translation/RiBi,NA
SPBC12C2.07c,vitamin metabolic process,5: Vitamins,NA
SPBC12C2.11,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBC12C2.12c,sulfur compound metabolic process,6: Other metabolism,NA
SPBC12C2.13c,transmembrane transport,6: Other metabolism,NA
SPBC12D12.05c,transmembrane transport,6: Other metabolism,NA
SPBC1347.04,lipid metabolic process,4: Lipids,NA
SPBC1347.07,translation,0: Translation/RiBi,NA
SPBC13A2.02;REV__SPAC323.05c,translation,0: Translation/RiBi,NA
SPBC13A2.03,lipid metabolic process,4: Lipids,NA
SPBC13A2.04c,transmembrane transport,6: Other metabolism,NA
SPBC13E7.04,generation of precursor metabolites and energy;nucleobase-containing small molecule metabolic process;transmembrane transport;oxidative phosphorylation,2: Precursors/Energy,OXPHOS
SPBC13E7.05,lipid metabolic process,4: Lipids,NA
SPBC13E7.09,vesicle-mediated transport,6: Other metabolism,NA
SPBC13G1.02,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBC13G1.03c,transmembrane transport,6: Other metabolism,NA
SPBC13G1.06c,sulfur compound metabolic process,6: Other metabolism,NA
SPBC13G1.09,translation,0: Translation/RiBi,NA
SPBC13G1.11,vesicle-mediated transport,6: Other metabolism,NA
SPBC146.08c,translation,0: Translation/RiBi,NA
SPBC146.13c,vesicle-mediated transport,6: Other metabolism,NA
SPBC146.14c,vesicle-mediated transport,6: Other metabolism,NA
SPBC14C8.02,transmembrane transport,6: Other metabolism,NA
SPBC14C8.04,cellular amino acid metabolic process,3: Amino acids,NA
SPBC14C8.06,vesicle-mediated transport,6: Other metabolism,NA
SPBC14C8.14c,translation,0: Translation/RiBi,NA
SPBC14C8.15,lipid metabolic process,4: Lipids,NA
SPBC14F5.02,vesicle-mediated transport,6: Other metabolism,NA
SPBC14F5.04c,carbohydrate metabolic process;generation of precursor metabolites and energy;nucleobase-containing small molecule metabolic process;canonical glycolysis,1: Glycolysis,NA
SPBC14F5.05c,cellular amino acid metabolic process;sulfur compound metabolic process,3: Amino acids,NA
SPBC14F5.06,translation,0: Translation/RiBi,NA
SPBC14F5.09c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBC14F5.11c,vesicle-mediated transport,6: Other metabolism,NA
SPBC14F5.13c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBC1539.03c,cellular amino acid metabolic process;nitrogen cycle metabolic process,3: Amino acids,NA
SPBC1539.05,vesicle-mediated transport,6: Other metabolism,NA
SPBC1539.06,lipid metabolic process,4: Lipids,NA
SPBC1539.07c,generation of precursor metabolites and energy,2: Precursors/Energy,Other
SPBC1539.08,vesicle-mediated transport,6: Other metabolism,NA
SPBC1539.09c,cellular amino acid metabolic process,3: Amino acids,NA
SPBC1539.10,translation,0: Translation/RiBi,NA
SPBC15C4.03,vesicle-mediated transport,6: Other metabolism,NA
SPBC15C4.04c,transmembrane transport,6: Other metabolism,NA
SPBC15C4.05,translation,0: Translation/RiBi,NA
SPBC15D4.04,lipid metabolic process,4: Lipids,NA
SPBC15D4.09c,cellular amino acid metabolic process;sulfur compound metabolic process,3: Amino acids,NA
SPBC1604.01,cellular amino acid metabolic process;sulfur compound metabolic process,3: Amino acids,NA
SPBC1604.04,transmembrane transport,6: Other metabolism,NA
SPBC1604.05,carbohydrate metabolic process;generation of precursor metabolites and energy;nucleobase-containing small molecule metabolic process;canonical glycolysis,1: Glycolysis,NA
SPBC1604.06c,translation,0: Translation/RiBi,NA
SPBC1604.07,generation of precursor metabolites and energy;nucleobase-containing small molecule metabolic process;transmembrane transport;oxidative phosphorylation,2: Precursors/Energy,OXPHOS
SPBC1604.09c,translation,0: Translation/RiBi,NA
SPBC1604.11,generation of precursor metabolites and energy;nucleobase-containing small molecule metabolic process;transmembrane transport;oxidative phosphorylation,2: Precursors/Energy,OXPHOS
SPBC1604.15,lipid metabolic process,4: Lipids,NA
SPBC1604.18c,vesicle-mediated transport,6: Other metabolism,NA
SPBC1652.02,transmembrane transport,6: Other metabolism,NA
SPBC1677.03c,cellular amino acid metabolic process,3: Amino acids,NA
SPBC1683.01,transmembrane transport,6: Other metabolism,NA
SPBC1683.02,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBC1683.03c,transmembrane transport,6: Other metabolism,NA
SPBC1683.04,carbohydrate metabolic process,6: Other metabolism,NA
SPBC1683.05,transmembrane transport,6: Other metabolism,NA
SPBC1683.06c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBC1683.09c,transmembrane transport,6: Other metabolism,NA
SPBC1683.10c,transmembrane transport,6: Other metabolism,NA
SPBC1683.11c,cellular amino acid metabolic process,3: Amino acids,NA
SPBC1683.12,transmembrane transport,6: Other metabolism,NA
SPBC1685.02c,translation,0: Translation/RiBi,NA
SPBC1685.09,translation,0: Translation/RiBi,NA
SPBC1685.10,translation,0: Translation/RiBi,NA
SPBC16A3.05c,translation,0: Translation/RiBi,NA
SPBC16A3.10,lipid metabolic process,4: Lipids,NA
SPBC16A3.12c,lipid metabolic process,4: Lipids,NA
SPBC16A3.17c,transmembrane transport,6: Other metabolism,NA
SPBC16C6.02c,vesicle-mediated transport,6: Other metabolism,NA
SPBC16C6.05,translation,0: Translation/RiBi,NA
SPBC16C6.06,vesicle-mediated transport,6: Other metabolism,NA
SPBC16C6.08c,generation of precursor metabolites and energy;oxidative phosphorylation,2: Precursors/Energy,OXPHOS
SPBC16C6.11,translation,0: Translation/RiBi,NA
SPBC16C6.12c,translation,0: Translation/RiBi,NA
SPBC16C6.13c,vesicle-mediated transport,6: Other metabolism,NA
SPBC16D10.06,transmembrane transport,6: Other metabolism,NA
SPBC16E9.05,lipid metabolic process,4: Lipids,NA
SPBC16E9.09c,vesicle-mediated transport,6: Other metabolism,NA
SPBC16E9.10c,translation,0: Translation/RiBi,NA
SPBC16E9.14c,transmembrane transport,6: Other metabolism,NA
SPBC16E9.16c,lipid metabolic process,4: Lipids,NA
SPBC16E9.18,lipid metabolic process,4: Lipids,NA
SPBC16G5.02c,carbohydrate metabolic process,6: Other metabolism,NA
SPBC16G5.08,cellular amino acid metabolic process,3: Amino acids,NA
SPBC16G5.10,translation,0: Translation/RiBi,NA
SPBC16G5.14c,translation,0: Translation/RiBi,NA
SPBC16H5.02,carbohydrate metabolic process;generation of precursor metabolites and energy;nucleobase-containing small molecule metabolic process;canonical glycolysis,1: Glycolysis,NA
SPBC16H5.06,generation of precursor metabolites and energy;oxidative phosphorylation,2: Precursors/Energy,OXPHOS
SPBC16H5.08c,translation,0: Translation/RiBi,NA
SPBC16H5.10c,translation,0: Translation/RiBi,NA
SPBC1703.03c,translation,0: Translation/RiBi,NA
SPBC1703.05,translation,0: Translation/RiBi,NA
SPBC1703.07,generation of precursor metabolites and energy;lipid metabolic process;nucleobase-containing small molecule metabolic process;sulfur compound metabolic process,2: Precursors/Energy,Other
SPBC1703.10,vesicle-mediated transport,6: Other metabolism,NA
SPBC1703.12,vesicle-mediated transport,6: Other metabolism,NA
SPBC1703.13c,transmembrane transport,6: Other metabolism,NA
SPBC1703.15c,vesicle-mediated transport,6: Other metabolism,NA
SPBC1709.02c,cellular amino acid metabolic process,3: Amino acids,NA
SPBC1709.05,translation,0: Translation/RiBi,NA
SPBC1709.07,lipid metabolic process,4: Lipids,NA
SPBC1709.13c,translation,0: Translation/RiBi,NA
SPBC1709.17,cellular amino acid metabolic process,3: Amino acids,NA
SPBC1709.18,translation,0: Translation/RiBi,NA
SPBC1709.19c,sulfur compound metabolic process,6: Other metabolism,NA
SPBC1711.04,nucleobase-containing small molecule metabolic process;vitamin metabolic process,5: Vitamins,NA
SPBC1711.06,translation,0: Translation/RiBi,NA
SPBC1711.07,translation,0: Translation/RiBi,NA
SPBC1711.09c,vesicle-mediated transport,6: Other metabolism,NA
SPBC1711.13,cellular amino acid metabolic process,3: Amino acids,NA
SPBC1711.16,translation,0: Translation/RiBi,NA
SPBC1718.04,lipid metabolic process,4: Lipids,NA
SPBC1718.05,vesicle-mediated transport,6: Other metabolism,NA
SPBC1734.01c,translation,0: Translation/RiBi,NA
SPBC1734.03,vitamin metabolic process,5: Vitamins,NA
SPBC1734.08,vesicle-mediated transport,6: Other metabolism,NA
SPBC1734.12c,lipid metabolic process,4: Lipids,NA
SPBC1734.13,generation of precursor metabolites and energy;nucleobase-containing small molecule metabolic process;transmembrane transport;oxidative phosphorylation,2: Precursors/Energy,OXPHOS
SPBC1773.05c,carbohydrate metabolic process,6: Other metabolism,NA
SPBC1773.06c,generation of precursor metabolites and energy,2: Precursors/Energy,Other
SPBC1773.10c,cellular amino acid metabolic process,3: Amino acids,NA
SPBC1773.14,cellular amino acid metabolic process;nitrogen cycle metabolic process,3: Amino acids,NA
SPBC1773.15,transmembrane transport,6: Other metabolism,NA
SPBC1773.17c,generation of precursor metabolites and energy,2: Precursors/Energy,Other
SPBC1778.01c,translation,0: Translation/RiBi,NA
SPBC1778.03c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBC1778.06c,vesicle-mediated transport,6: Other metabolism,NA
SPBC1778.08c,vesicle-mediated transport,6: Other metabolism,NA
SPBC1778.09,vesicle-mediated transport,6: Other metabolism,NA
SPBC17A3.01c,transmembrane transport,6: Other metabolism,NA
SPBC17A3.04c,cellular amino acid metabolic process,3: Amino acids,NA
SPBC17A3.07,sulfur compound metabolic process,6: Other metabolism,NA
SPBC17D1.03c,translation,0: Translation/RiBi,NA
SPBC17D1.06,translation,0: Translation/RiBi,NA
SPBC17D11.05,translation,0: Translation/RiBi,NA
SPBC17G9.03c,cellular amino acid metabolic process,3: Amino acids,NA
SPBC17G9.04c,translation,0: Translation/RiBi,NA
SPBC17G9.06c,secondary metabolic process,6: Other metabolism,NA
SPBC17G9.07,translation,0: Translation/RiBi,NA
SPBC17G9.09,translation,0: Translation/RiBi,NA
SPBC17G9.10;SPAC26A3.07c,translation,0: Translation/RiBi,NA
SPBC17G9.11c,carbohydrate metabolic process;generation of precursor metabolites and energy,2: Precursors/Energy,Other
SPBC1815.01,carbohydrate metabolic process;generation of precursor metabolites and energy;nucleobase-containing small molecule metabolic process;canonical glycolysis,1: Glycolysis,NA
SPBC1861.05,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBC18A7.02c,vesicle-mediated transport,6: Other metabolism,NA
SPBC18E5.02c,lipid metabolic process,4: Lipids,NA
SPBC18E5.04,translation,0: Translation/RiBi,NA
SPBC18E5.06,translation,0: Translation/RiBi,NA
SPBC18H10.02,lipid metabolic process;nucleobase-containing small molecule metabolic process;sulfur compound metabolic process,4: Lipids,NA
SPBC18H10.03;REV__SPBC15D4.03,translation,0: Translation/RiBi,NA
SPBC18H10.04c,translation,0: Translation/RiBi,NA
SPBC18H10.12c,translation,0: Translation/RiBi,NA
SPBC18H10.13;SPAC3H5.05c,translation,0: Translation/RiBi,NA
SPBC18H10.14;SPAC664.04c,translation,0: Translation/RiBi,NA
SPBC18H10.16,transmembrane transport,6: Other metabolism,NA
SPBC18H10.20c,vesicle-mediated transport,6: Other metabolism,NA
SPBC1921.01c,translation,0: Translation/RiBi,NA
SPBC1921.03c,translation,0: Translation/RiBi,NA
SPBC1921.06c,carbohydrate metabolic process,6: Other metabolism,NA
SPBC19C2.07,carbohydrate metabolic process;generation of precursor metabolites and energy;nucleobase-containing small molecule metabolic process;canonical glycolysis,1: Glycolysis,NA
SPBC19C2.09,lipid metabolic process,4: Lipids,NA
SPBC19C2.10,vesicle-mediated transport,6: Other metabolism,NA
SPBC19C2.15c,lipid metabolic process,4: Lipids,NA
SPBC19C7.03,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBC19C7.06,cellular amino acid metabolic process,3: Amino acids,NA
SPBC19C7.11,transmembrane transport,6: Other metabolism,NA
SPBC19F5.02c,translation,0: Translation/RiBi,NA
SPBC19F5.03,lipid metabolic process,4: Lipids,NA
SPBC19F5.04,cellular amino acid metabolic process;sulfur compound metabolic process,3: Amino acids,NA
SPBC19F5.05c,translation,0: Translation/RiBi,NA
